SERVICIO DE HIDROLAVADO DE ALTA Y BAJA PRESION,HIDROLAVADO,HIDROLAVADO,SOLES,UND,34.5,40.71
SERVICIO DE PINTADO DE EMBARCACIÃ“N,PINTADO,PINTADO,SOLES,UND,0.0,0.0
SERVICIO DE PINTADO DE PANGA,PINTADO,PINTADO,SOLES,UND,0.0,0.0
SERVICIO DE LIMPIEZA DE TANQUE DE COMBUSTIBLE,LIMPIEZA,LIMPIEZA,SOLES,UND,0.0,0.0
SERVICIO DE LIMPIEZA DE SENTINA,LIMPIEZA,LIMPIEZA,SOLES,UND,0.0,0.0
SERVICIO DE PINTADO,PINTADO,PINTADO,SOLES,UND,0.0,0.0
"SERVICIO DE EVACUACION, LIMPIEZA E HIDROLAVADO",LIMPIEZA,LIMPIEZA,SOLES,UND,0.0,0.0
SERVICIO DE LIMPIEZA DE PANGA,LIMPIEZA,LIMPIEZA,SOLES,UND,0.0,0.0
SERVICIO DE FLUSHING,FLUSHING,LIMPIEZA,SOLES,UND,0.0,0.0
SERVICIO DE HIDROLAVADO,LIMPIEZA,LIMPIEZA,SOLES,UND,0.0,0.0
SERVICIO DE PINTADO DE MOTOR,PINTURA,PINTADO,SOLES,UND,0.0,0.0
SERVICIO DE PINTADO DE BODEGAS,PINTURA,PINTADO,SOLES,UND,0.0,0.0
SERVICIO DE LIMPIEZA DE INTERCAMBIADOR DE CALOR,LIMPIEZA,LIMPIEZA,SOLES,UND,0.0,0.0
